class,has_photo,followers_count,has_occupation,friends_count,online,comments_count,comment_stickers_count,comment_text_length,mean_friend_online,min_friend_online,max_friend_online,mean_friend_age,min_friend_age,max_friend_age,mean_friend_has_photo,min_friend_has_photo,max_friend_has_photo,mean_friend_followers_count,min_friend_followers_count,max_friend_followers_count,mean_comments_count,min_comments_count,max_comments_count,mean_has_attachments,min_has_attachments,max_has_attachments,mean_likes_count,min_likes_count,max_likes_count,mean_reposts_count,min_reposts_count,max_reposts_count,mean_views_count,min_views_count,max_views_count
1,1,130,112,6,0,0.0,0.0,4.798387096774194,0,32,18.6984126984127,14,46,0.6813186813186813,0,1,77.57142857142857,0,1295,0,2.5239344262295083,0,180,4.723934426229508,0,10,20.35139344262295,0,713,0.8428688524590164,0,14,651.7327049180328,5,9518
1,1,22821,5000,112,0,0.0,0.0,0.6804298642533937,0,13,31.64822134387352,14,122,0.7604761904761905,0,1,1752.2483333333332,0,95624,1,90.52907311456536,0,273,1.1594703511801958,0,3,571.1899827288428,422,667,143.7012089810017,64,199,22501.938975244677,6110,47171
1,1,345,378,19,0,0.0,0.0,4.590551181102362,0,42,22.7810650887574,14,116,0.6724137931034483,0,1,115.90344827586208,0,11707,1,105.63211693548386,0,960,1.3925806451612903,0,10,6825.574778225807,0,105630,1820.8703427419357,0,70739,357496.4077217742,1,2114227
1,1,166,217,105,0,0.0,0.0,6.49812734082397,0,33,23.68141592920354,14,116,0.9338235294117648,0,1,81.17647058823529,0,473,1,77.33125649013499,0,385,1.096573208722741,0,2,325.17341640706127,4,1190,215.2502596053998,1,901,22224.065420560742,320,70108
1,1,16,303,50,5,0.0,1.0,5.104761904761904,0,34,22.802139037433157,14,121,0.8933333333333333,0,1,485.8222222222222,0,94987,1,3.967083725727611,0,93,1.8463159782949907,0,2,19.05811919817032,0,1818,3.055159424189425,0,129,4181.483070989731,1,79835
1,1,13629,175,130,1,0.0,38.0,9.600806451612904,0,36,21.50980392156863,14,122,0.7734375,0,1,224.21875,0,2389,1,16.45765625,0,274,1.88953125,0,10,305.20265625,1,7165,40.83765625,0,336,6806.76546875,10,123916
1,1,18963,63,81,10,0.0,8.0,6.045871559633028,0,39,24.05263157894737,14,117,0.8666666666666667,0,1,405.31111111111113,0,8413,0,0.7734426229508197,0,21,4.535081967213115,0,10,1.6788524590163934,0,37,1.400655737704918,0,26,1162.7893442622951,109,33373
1,1,48,1705,215,19,0.0,11.105263157894736,5.339784946236559,0,86,30.7202718006795,14,122,0.8736349453978159,0,1,260.08346333853353,0,30005,1,0.7535273628903714,0,14,1.495483794793081,0,5,11.877619694196824,0,47,0.7329240214888718,0,9,240.8178759076687,10,759
2,1,84,99,104,0,0.0,0.0,7.077669902912621,0,48,23.729166666666668,15,120,0.9230769230769232,0,1,108.01538461538462,0,748,0,22.58981818181818,0,287,3.886909090909091,1,10,1049.7559090909092,0,7546,163.49818181818182,0,4298,72888.32945454546,8,438082
2,1,319,588,33,0,0.0,0.0,6.71869918699187,0,34,26.75121951219512,14,121,0.9390681003584228,0,1,147.35125448028674,0,1597,1,39.98025,0,4295,1.072375,0,10,1345.276125,0,11786,1062.281875,0,16086,109405.134,0,832263
